PHP_Code,is_vulnerable,Description
"<?php
class Input{
 public function getInput(){
 return $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$var = require(""'"". $tainted . "".php'"");
?>",0,CWE_98__object-directGet__ternary_white_list__require_file_name-concatenation_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$var = require(""'$tainted'.php"");
?>",0,CWE_98__exec__func_FILTER-CLEANING-magic_quotes_filter__require_file_name-interpretation_simple_quote
"<?php
$tainted = system('ls', $retval);
if (settype($tainted, ""integer""))
 $tainted = $tainted ;
else
 $tainted = 0 ;
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__system__CAST-func_settype_int__require_file_id-concatenation_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = intval($tainted);
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__POST__func_intval__require_file_id-concatenation_simple_quote
"<?php
$tainted = `cat /tmp/tainted.txt`;
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_FLOAT);
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__backticks__func_FILTER-CLEANING-number_float_filter__require_file_id-concatenation_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$re = ""/^[0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__proc_open__func_preg_match-only_numbers__require_file_id-interpretation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$var = require(""'$tainted'.php"");
?>",0,CWE_98__shell_exec__func_htmlspecialchars__require_file_name-interpretation_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_INT);
if (filter_var($sanitized, FILTER_VALIDATE_INT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$var = include(""pages/'$tainted'.php"");
?>",0,CWE_98__fopen__func_FILTER-CLEANING-number_int_filter__include_file_id-interpretation_simple_quote
"<?php
$tainted = system('ls', $retval);
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$var = include(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__system__func_FILTER-CLEANING-magic_quotes_filter__include_file_name-sprintf_%s_simple_quote
"<?php
$descriptorspec = array(
 0 => array(""pipe"", ""r""),
 1 => array(""pipe"", ""w""),
 2 => array(""file"", ""/tmp/error-output.txt"", ""a"")
 );
$cwd = '/tmp';
$process = proc_open('more /tmp/tainted.txt', $descriptorspec, $pipes, $cwd, NULL);
if (is_resource($process)) {
 fclose($pipes[0]);
 $tainted = stream_get_contents($pipes[1]);
 fclose($pipes[1]);
 $return_value = proc_close($process);
}
$tainted = addslashes($tainted);
$var = include(""'"". $tainted . "".php'"");
?>",0,CWE_98__proc_open__func_addslashes__include_file_name-concatenation_simple_quote
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$tainted += 0.0 ;
$var = require(sprintf(""pages/'%d'.php"", $tainted));
?>",0,CWE_98__unserialize__CAST-cast_float_sort_of__require_file_id-sprintf_%d_simple_quote
"<?php
$tainted = $_POST['UserData'];
$re = ""/^[0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$var = require(""pages/'"". $tainted . ""'.php"");
?>",0,CWE_98__POST__func_preg_match-only_numbers__require_file_id-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = (float) $tainted ;
$var = require(""pages/'$tainted'.php"");
?>",0,CWE_98__object-indexArray__CAST-cast_float__require_file_id-interpretation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$tainted = htmlentities($tainted, ENT_QUOTES);
$var = include(""'"". $tainted . "".php'"");
?>",0,CWE_98__popen__func_htmlentities__include_file_name-concatenation_simple_quote
"<?php
$tainted = $_GET['UserData'];
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$var = require(sprintf(""'%s'.php"", $tainted));
?>",0,CWE_98__GET__whitelist_using_array__require_file_name-sprintf_%s_simple_quote
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$var = include(""'$tainted'.php"");
?>",0,CWE_98__unserialize__func_htmlspecialchars__include_file_name-interpretation_simple_quote
