PHP_Code,is_vulnerable,Description
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$tainted = preg_replace('/\'/', '', $tainted);
$query = ""echo $'$tainted';"";
$res = eval($query);
?>",0,CWE_95__unserialize__func_preg_replace__echo-interpretation_simple_quote
"<?php
$tainted = $_GET['UserData'];
$re = ""/^[0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$query = ""$temp = '"". $tainted . ""';"";
$res = eval($query);
?>",0,CWE_95__GET__func_preg_match-only_numbers__variable-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input[1];
 }
 public function __construct(){
 $this->input = array();
 $this->input[0]= 'safe' ;
 $this->input[1]= $_GET['UserData'] ;
 $this->input[2]= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = preg_replace('/\W/si','',$tainted);
$query = ""'echo $"". $tainted . "";'"";
$res = eval($query);
?>",0,CWE_95__object-Array__func_preg_replace2__echo-concatenation_simple_quote
"<?php
$handle = popen('/bin/cat /tmp/tainted.txt', 'r');
$tainted = fread($handle, 4096);
pclose($handle);
$tainted = preg_replace('/\W/si','',$tainted);
$query = ""'echo $"". $tainted . "";'"";
$res = eval($query);
?>",0,CWE_95__popen__func_preg_replace2__echo-concatenation_simple_quote
"<?php
$handle = @fopen(""/tmp/tainted.txt"", ""r"");
if ($handle) {
 if(($tainted = fgets($handle, 4096)) == false) {
 $tainted = """";
 }
 fclose($handle);
} else {
 $tainted = """";
}
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = sprintf(""echo $'%s';"", $tainted);
$res = eval($query);
?>",0,CWE_95__fopen__ternary_white_list__echo-sprintf_%s_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$sanitized = filter_var($tainted, FILTER_SANITIZE_NUMBER_FLOAT);
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$query = ""$temp = ' $tainted ';"";
$res = eval($query);
?>",0,CWE_95__SESSION__func_FILTER-CLEANING-number_float_filter__variable-interpretation_simple_quote
"<?php
class Input{
 public function getInput(){
 return $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$query = ""echo $'$tainted';"";
$res = eval($query);
?>",0,CWE_95__object-directGet__func_FILTER-CLEANING-magic_quotes_filter__echo-interpretation_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = $tainted + 0;
$query = ""$temp = '"". $tainted . ""';"";
$res = eval($query);
?>",0,CWE_95__shell_exec__CAST-cast_int_sort_of2__variable-concatenation_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted = intval($tainted);
$query = ""$temp = '"". $tainted . ""';"";
$res = eval($query);
?>",0,CWE_95__SESSION__func_intval__variable-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = ""$temp = ' $tainted ';"";
$res = eval($query);
?>",0,CWE_95__object-classicGet__ternary_white_list__variable-interpretation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted += 0 ;
$query = ""$temp = ' $tainted ';"";
$res = eval($query);
?>",0,CWE_95__object-classicGet__CAST-cast_int_sort_of__variable-interpretation_simple_quote
