PHP_Code,is_vulnerable,Description
"<?php
$tainted = $_GET['UserData'];
$re = ""/^[a-zA-Z0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$query = sprintf(""ls '%s'"", $tainted);
$ret = system($query);
?>",0,CWE_78__GET__func_preg_match-letters_numbers__ls-sprintf_%s_simple_quote
"<?php
$string = $_POST['UserData'] ;
$tainted = unserialize($string);
 
$sanitized = filter_var($tainted, FILTER_SANITIZE_MAGIC_QUOTES);
 $tainted = $sanitized ;
 
$query = sprintf(""ls '%s'"", $tainted);
$ret = system($query);
?>",0,CWE_78__unserialize__func_FILTER-CLEANING-magic_quotes_filter__ls-sprintf_%s_simple_quote
"<?php
$tainted = $_GET['UserData'];
$re = ""/^[0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$query = sprintf(""find / size '%d'"", $tainted);
$ret = system($query);
?>",0,CWE_78__GET__func_preg_match-only_numbers__find_size-sprintf_%s_simple_quote
"<?php
$tainted = shell_exec('cat /tmp/tainted.txt');
$tainted = preg_replace('/\W/si','',$tainted);
$query = sprintf(""ls '%s'"", $tainted);
$ret = system($query);
?>",0,CWE_78__shell_exec__func_preg_replace2__ls-sprintf_%s_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$tainted = htmlentities($tainted, ENT_QUOTES);
$query = ""cat ' $tainted '"";
$ret = system($query);
?>",0,CWE_78__SESSION__func_htmlentities__cat-interpretation_simple_quote
"<?php
$script = ""/tmp/tainted.php"";
exec($script, $result, $return);
$tainted = $result[0];
$tainted = addslashes($tainted);
$query = sprintf(""cat '%s'"", $tainted);
$ret = system($query);
?>",0,CWE_78__exec__func_addslashes__cat-sprintf_%s_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = preg_replace('/\W/si','',$tainted);
$query = ""ls ' $tainted '"";
$ret = system($query);
?>",0,CWE_78__object-indexArray__func_preg_replace2__ls-interpretation_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = (int) $tainted ;
$query = ""find / size '"". $tainted . ""'"";
$ret = system($query);
?>",0,CWE_78__POST__CAST-cast_int__find_size-concatenation_simple_quote
"<?php
$tainted = system('ls', $retval);
$tainted = preg_replace('/\'/', '', $tainted);
$query = ""cat '"". $tainted . ""'"";
$ret = system($query);
?>",0,CWE_78__system__func_preg_replace__cat-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = preg_replace('/\'/', '', $tainted);
$query = ""ls '"". $tainted . ""'"";
$ret = system($query);
?>",0,CWE_78__object-indexArray__func_preg_replace__ls-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = preg_replace('/\W/si','',$tainted);
$query = ""cat '"". $tainted . ""'"";
$ret = system($query);
?>",0,CWE_78__object-indexArray__func_preg_replace2__cat-concatenation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$re = ""/^[0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$query = ""find / size ' $tainted '"";
$ret = system($query);
?>",0,CWE_78__object-classicGet__func_preg_match-only_numbers__find_size-interpretation_simple_quote
"<?php
class Input{
 public function getInput(){
 return $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
if (filter_var($sanitized, FILTER_VALIDATE_FLOAT))
 $tainted = $sanitized ;
else
 $tainted = """" ;
$query = ""find / size ' $tainted '"";
$ret = system($query);
?>",0,CWE_78__object-directGet__func_FILTER-VALIDATION-number_float_filter__find_size-interpretation_simple_quote
"<?php
$tainted = $_GET['UserData'];
$tainted = preg_replace('/\'/', '', $tainted);
$query = ""ls ' $tainted '"";
$ret = system($query);
?>",0,CWE_78__GET__func_preg_replace__ls-interpretation_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input['realOne'];
 }
 public function __construct(){
 $this->input = array();
 $this->input['test']= 'safe' ;
 $this->input['realOne']= $_GET['UserData'] ;
 $this->input['trap']= 'safe' ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = $tainted + 0;
$query = sprintf(""find / size '%d'"", $tainted);
$ret = system($query);
?>",0,CWE_78__object-indexArray__CAST-cast_int_sort_of2__find_size-sprintf_%s_simple_quote
"<?php
class Input{
 private $input;
 public function getInput(){
 return $this->input;
 }
 public function __construct(){
 $this->input = $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$tainted = $tainted == 'safe1' ? 'safe1' : 'safe2';
$query = sprintf(""find / size '%d'"", $tainted);
$ret = system($query);
?>",0,CWE_78__object-classicGet__ternary_white_list__find_size-sprintf_%s_simple_quote
"<?php
$tainted = $_SESSION['UserData'];
$legal_table = array(""safe1"", ""safe2"");
if (in_array($tainted, $legal_table, true)) {
 $tainted = $tainted;
} else {
 $tainted = $legal_table[0];
}
$query = sprintf(""ls '%s'"", $tainted);
$ret = system($query);
?>",0,CWE_78__SESSION__whitelist_using_array__ls-sprintf_%s_simple_quote
"<?php
class Input{
 public function getInput(){
 return $_GET['UserData'] ;
 }
}
$temp = new Input();
$tainted = $temp->getInput();
$re = ""/^[0-9]*$/"";
if(preg_match($re, $tainted) == 1){
 $tainted = $tainted;
}
else{
 $tainted = """";
}
$query = ""find / size '"". $tainted . ""'"";
$ret = system($query);
?>",0,CWE_78__object-directGet__func_preg_match-only_numbers__find_size-concatenation_simple_quote
"<?php
$tainted = $_POST['UserData'];
$tainted = htmlspecialchars($tainted, ENT_QUOTES);
$query = ""ls ' $tainted '"";
$ret = system($query);
?>",0,CWE_78__POST__func_htmlspecialchars__ls-interpretation_simple_quote
